N,Fecha,Ciudad,Valor,Variable,Tipo,Escenario
0,27/02/2020,Bogotá D.C.,1,Total,Real,Base
1,28/02/2020,Bogotá D.C.,2,Total,Real,Base
2,1/03/2020,Bogotá D.C.,5,Total,Real,Base
3,4/03/2020,Bogotá D.C.,6,Total,Real,Base
4,5/03/2020,Bogotá D.C.,11,Total,Real,Base
5,6/03/2020,Bogotá D.C.,17,Total,Real,Base
6,7/03/2020,Bogotá D.C.,27,Total,Real,Base
7,8/03/2020,Bogotá D.C.,32,Total,Real,Base
8,9/03/2020,Bogotá D.C.,37,Total,Real,Base
9,10/03/2020,Bogotá D.C.,48,Total,Real,Base
10,11/03/2020,Bogotá D.C.,63,Total,Real,Base
11,12/03/2020,Bogotá D.C.,82,Total,Real,Base
12,13/03/2020,Bogotá D.C.,108,Total,Real,Base
13,14/03/2020,Bogotá D.C.,142,Total,Real,Base
14,15/03/2020,Bogotá D.C.,197,Total,Real,Base
15,16/03/2020,Bogotá D.C.,259,Total,Real,Base
16,17/03/2020,Bogotá D.C.,318,Total,Real,Base
17,18/03/2020,Bogotá D.C.,371,Total,Real,Base
18,19/03/2020,Bogotá D.C.,457,Total,Real,Base
19,20/03/2020,Bogotá D.C.,542,Total,Real,Base
20,21/03/2020,Bogotá D.C.,622,Total,Real,Base
21,22/03/2020,Bogotá D.C.,681,Total,Real,Base
22,23/03/2020,Bogotá D.C.,743,Total,Real,Base
23,24/03/2020,Bogotá D.C.,793,Total,Real,Base
24,25/03/2020,Bogotá D.C.,870,Total,Real,Base
25,26/03/2020,Bogotá D.C.,939,Total,Real,Base
26,27/03/2020,Bogotá D.C.,1018,Total,Real,Base
27,28/03/2020,Bogotá D.C.,1092,Total,Real,Base
28,29/03/2020,Bogotá D.C.,1156,Total,Real,Base
29,30/03/2020,Bogotá D.C.,1220,Total,Real,Base
30,31/03/2020,Bogotá D.C.,1270,Total,Real,Base
31,1/04/2020,Bogotá D.C.,1358,Total,Real,Base
32,2/04/2020,Bogotá D.C.,1417,Total,Real,Base
33,3/04/2020,Bogotá D.C.,1476,Total,Real,Base
34,4/04/2020,Bogotá D.C.,1567,Total,Real,Base
35,5/04/2020,Bogotá D.C.,1638,Total,Real,Base
36,6/04/2020,Bogotá D.C.,1731,Total,Real,Base
37,7/04/2020,Bogotá D.C.,1790,Total,Real,Base
38,8/04/2020,Bogotá D.C.,1864,Total,Real,Base
39,9/04/2020,Bogotá D.C.,1928,Total,Real,Base
40,10/04/2020,Bogotá D.C.,2031,Total,Real,Base
41,11/04/2020,Bogotá D.C.,2107,Total,Real,Base
42,12/04/2020,Bogotá D.C.,2182,Total,Real,Base
43,13/04/2020,Bogotá D.C.,2243,Total,Real,Base
44,14/04/2020,Bogotá D.C.,2313,Total,Real,Base
45,15/04/2020,Bogotá D.C.,2398,Total,Real,Base
46,16/04/2020,Bogotá D.C.,2525,Total,Real,Base
47,17/04/2020,Bogotá D.C.,2600,Total,Real,Base
48,18/04/2020,Bogotá D.C.,2705,Total,Real,Base
49,19/04/2020,Bogotá D.C.,2792,Total,Real,Base
50,20/04/2020,Bogotá D.C.,2912,Total,Real,Base
51,21/04/2020,Bogotá D.C.,2997,Total,Real,Base
52,22/04/2020,Bogotá D.C.,3074,Total,Real,Base
53,23/04/2020,Bogotá D.C.,3176,Total,Real,Base
54,24/04/2020,Bogotá D.C.,3264,Total,Real,Base
55,25/04/2020,Bogotá D.C.,3366,Total,Real,Base
56,26/04/2020,Bogotá D.C.,3490,Total,Real,Base
57,27/04/2020,Bogotá D.C.,3595,Total,Real,Base
58,28/04/2020,Bogotá D.C.,3741,Total,Real,Base
59,29/04/2020,Bogotá D.C.,3852,Total,Real,Base
60,30/04/2020,Bogotá D.C.,3966,Total,Real,Base
61,1/05/2020,Bogotá D.C.,4175,Total,Real,Base
62,2/05/2020,Bogotá D.C.,4329,Total,Real,Base
63,3/05/2020,Bogotá D.C.,4478,Total,Real,Base
64,4/05/2020,Bogotá D.C.,4629,Total,Real,Base
65,5/05/2020,Bogotá D.C.,4827,Total,Real,Base
66,6/05/2020,Bogotá D.C.,5056,Total,Real,Base
67,7/05/2020,Bogotá D.C.,5222,Total,Real,Base
68,8/05/2020,Bogotá D.C.,5441,Total,Real,Base
69,9/05/2020,Bogotá D.C.,5661,Total,Real,Base
70,10/05/2020,Bogotá D.C.,5988,Total,Real,Base
71,11/05/2020,Bogotá D.C.,6269,Total,Real,Base
72,12/05/2020,Bogotá D.C.,6544,Total,Real,Base
73,13/05/2020,Bogotá D.C.,6859,Total,Real,Base
74,14/05/2020,Bogotá D.C.,7152,Total,Real,Base
75,15/05/2020,Bogotá D.C.,7444,Total,Real,Base
76,16/05/2020,Bogotá D.C.,7741,Total,Real,Base
77,17/05/2020,Bogotá D.C.,8048,Total,Real,Base
78,18/05/2020,Bogotá D.C.,8443,Total,Real,Base
79,19/05/2020,Bogotá D.C.,8853,Total,Real,Base
80,20/05/2020,Bogotá D.C.,9309,Total,Real,Base
81,21/05/2020,Bogotá D.C.,9612,Total,Real,Base
82,22/05/2020,Bogotá D.C.,10001,Total,Real,Base
83,23/05/2020,Bogotá D.C.,10396,Total,Real,Base
84,24/05/2020,Bogotá D.C.,10749,Total,Real,Base
85,25/05/2020,Bogotá D.C.,11217,Total,Real,Base
86,26/05/2020,Bogotá D.C.,11601,Total,Real,Base
87,27/05/2020,Bogotá D.C.,12011,Total,Real,Base
88,28/05/2020,Bogotá D.C.,12447,Total,Real,Base
89,29/05/2020,Bogotá D.C.,12897,Total,Real,Base
90,30/05/2020,Bogotá D.C.,13301,Total,Real,Base
91,31/05/2020,Bogotá D.C.,13746,Total,Real,Base
92,1/06/2020,Bogotá D.C.,14437,Total,Real,Base
93,2/06/2020,Bogotá D.C.,15031,Total,Real,Base
94,3/06/2020,Bogotá D.C.,15509,Total,Real,Base
95,4/06/2020,Bogotá D.C.,15984,Total,Real,Base
96,5/06/2020,Bogotá D.C.,16625,Total,Real,Base
97,6/06/2020,Bogotá D.C.,17274,Total,Real,Base
98,7/06/2020,Bogotá D.C.,17776,Total,Real,Base
99,8/06/2020,Bogotá D.C.,18467,Total,Real,Base
100,9/06/2020,Bogotá D.C.,19067,Total,Real,Base
101,10/06/2020,Bogotá D.C.,19964,Total,Real,Base
