Ciudad,Grupo de edad,Sexo,Total
Barranquilla,"[0, 9)",F,568
Barranquilla,"[0, 9)",M,582
Barranquilla,"[9, 19)",F,1005
Barranquilla,"[9, 19)",M,987
Barranquilla,"[19, 39)",F,7457
Barranquilla,"[19, 39)",M,8536
Barranquilla,"[39, 59)",F,5453
Barranquilla,"[39, 59)",M,6125
Barranquilla,"[59, 79)",F,2607
Barranquilla,"[59, 79)",M,2850
Barranquilla,"[79, 100)",F,656
Barranquilla,"[79, 100)",M,611
Bogotá D.C.,"[0, 9)",F,4370
Bogotá D.C.,"[0, 9)",M,4668
Bogotá D.C.,"[9, 19)",F,8090
Bogotá D.C.,"[9, 19)",M,7956
Bogotá D.C.,"[19, 39)",F,56052
Bogotá D.C.,"[19, 39)",M,52447
Bogotá D.C.,"[39, 59)",F,39803
Bogotá D.C.,"[39, 59)",M,37398
Bogotá D.C.,"[59, 79)",F,15390
Bogotá D.C.,"[59, 79)",M,15958
Bogotá D.C.,"[79, 100)",F,3649
Bogotá D.C.,"[79, 100)",M,2876
Cali,"[0, 9)",F,563
Cali,"[0, 9)",M,578
Cali,"[9, 19)",F,970
Cali,"[9, 19)",M,1003
Cali,"[19, 39)",F,9812
Cali,"[19, 39)",M,9522
Cali,"[39, 59)",F,6654
Cali,"[39, 59)",M,7099
Cali,"[59, 79)",F,2870
Cali,"[59, 79)",M,3177
Cali,"[79, 100)",F,756
Cali,"[79, 100)",M,731
Cartagena de Indias,"[0, 9)",F,388
Cartagena de Indias,"[0, 9)",M,417
Cartagena de Indias,"[9, 19)",F,691
Cartagena de Indias,"[9, 19)",M,722
Cartagena de Indias,"[19, 39)",F,4644
Cartagena de Indias,"[19, 39)",M,5377
Cartagena de Indias,"[39, 59)",F,3113
Cartagena de Indias,"[39, 59)",M,3730
Cartagena de Indias,"[59, 79)",F,1309
Cartagena de Indias,"[59, 79)",M,1404
Cartagena de Indias,"[79, 100)",F,285
Cartagena de Indias,"[79, 100)",M,248
Medellín,"[0, 9)",F,806
Medellín,"[0, 9)",M,797
Medellín,"[9, 19)",F,1426
Medellín,"[9, 19)",M,1468
Medellín,"[19, 39)",F,14391
Medellín,"[19, 39)",M,13773
Medellín,"[39, 59)",F,9416
Medellín,"[39, 59)",M,8852
Medellín,"[59, 79)",F,3247
Medellín,"[59, 79)",M,3526
Medellín,"[79, 100)",F,916
Medellín,"[79, 100)",M,763
