Ciudad,Variable,Valor,Escenario
Bogotá D.C.,Total,4641.057533088124,Base
Bogotá D.C.,Nuevos,551.6229749031639,Base
Bogotá D.C.,Activos,2161.674631890951,Base
Bogotá D.C.,Recuperado,1630.2226533667174,Base
Bogotá D.C.,Fallecido,7.347434683362691,Base
Medellín,Total,1033.3088672388456,Base
Medellín,Nuevos,212.0635312888338,Base
Medellín,Activos,380.4394366335099,Base
Medellín,Recuperado,556.0833748547672,Base
Medellín,Fallecido,1.39258417352661,Base
Cali,Total,291.6293256743894,Base
Cali,Nuevos,116.04714394286157,Base
Cali,Activos,903.7752556448452,Base
Cali,Recuperado,193.8142380091846,Base
Cali,Fallecido,2.665125777396249,Base
Barranquilla,Total,177.8381632658441,Base
Barranquilla,Nuevos,17.073648210177243,Base
Barranquilla,Activos,345.4665353831741,Base
Barranquilla,Recuperado,81.7483180821765,Base
Barranquilla,Fallecido,1.591111423922527,Base
Cartagena de Indias,Total,256.8363924083907,Base
Cartagena de Indias,Nuevos,20.025999366570094,Base
Cartagena de Indias,Activos,116.94033406192612,Base
Cartagena de Indias,Recuperado,50.11749769984399,Base
Cartagena de Indias,Fallecido,0.7608741067958827,Base
