Ciudad,Grupo de edad,Estado,Total
Barranquilla,"[0, 9)",Casa,43.0
Barranquilla,"[0, 9)",Hospital,3.0
Barranquilla,"[9, 19)",Casa,76.0
Barranquilla,"[9, 19)",Hospital,1.0
Barranquilla,"[19, 39)",Casa,503.0
Barranquilla,"[19, 39)",Hospital,10.0
Barranquilla,"[39, 59)",Casa,336.0
Barranquilla,"[39, 59)",Hospital,9.0
Barranquilla,"[59, 79)",Casa,189.0
Barranquilla,"[59, 79)",Hospital,20.0
Barranquilla,"[79, 100)",Casa,32.0
Barranquilla,"[79, 100)",Hospital,5.0
Bogotá D.C.,"[0, 9)",Casa,2176.0
Bogotá D.C.,"[0, 9)",Hospital,159.0
Bogotá D.C.,"[9, 19)",Casa,3681.0
Bogotá D.C.,"[9, 19)",Hospital,54.0
Bogotá D.C.,"[19, 39)",Casa,21835.0
Bogotá D.C.,"[19, 39)",Hospital,474.0
Bogotá D.C.,"[39, 59)",Casa,14557.0
Bogotá D.C.,"[39, 59)",Hospital,1207.0
Bogotá D.C.,"[59, 79)",Casa,5508.0
Bogotá D.C.,"[59, 79)",Hospital,1310.0
Bogotá D.C.,"[79, 100)",Casa,973.0
Bogotá D.C.,"[79, 100)",Hospital,328.0
Cali,"[0, 9)",Casa,134.0
Cali,"[0, 9)",Hospital,16.0
Cali,"[9, 19)",Casa,232.0
Cali,"[9, 19)",Hospital,13.0
Cali,"[19, 39)",Casa,2190.0
Cali,"[19, 39)",Hospital,85.0
Cali,"[39, 59)",Casa,1482.0
Cali,"[39, 59)",Hospital,226.0
Cali,"[59, 79)",Casa,565.0
Cali,"[59, 79)",Hospital,288.0
Cali,"[79, 100)",Casa,120.0
Cali,"[79, 100)",Hospital,99.0
Cartagena de Indias,"[0, 9)",Casa,46.0
Cartagena de Indias,"[0, 9)",Hospital,
Cartagena de Indias,"[9, 19)",Casa,70.0
Cartagena de Indias,"[9, 19)",Hospital,1.0
Cartagena de Indias,"[19, 39)",Casa,465.0
Cartagena de Indias,"[19, 39)",Hospital,6.0
Cartagena de Indias,"[39, 59)",Casa,322.0
Cartagena de Indias,"[39, 59)",Hospital,10.0
Cartagena de Indias,"[59, 79)",Casa,138.0
Cartagena de Indias,"[59, 79)",Hospital,16.0
Cartagena de Indias,"[79, 100)",Casa,20.0
Cartagena de Indias,"[79, 100)",Hospital,3.0
Medellín,"[0, 9)",Casa,225.0
Medellín,"[0, 9)",Hospital,50.0
Medellín,"[9, 19)",Casa,392.0
Medellín,"[9, 19)",Hospital,16.0
Medellín,"[19, 39)",Casa,4457.0
Medellín,"[19, 39)",Hospital,77.0
Medellín,"[39, 59)",Casa,2805.0
Medellín,"[39, 59)",Hospital,179.0
Medellín,"[59, 79)",Casa,927.0
Medellín,"[59, 79)",Hospital,270.0
Medellín,"[79, 100)",Casa,173.0
Medellín,"[79, 100)",Hospital,87.0
