Ciudad,Variable,Valor,Escenario
Bogotá D.C.,Total,4009.2194617680216,Base
Bogotá D.C.,Nuevos,623.2394800220085,Base
Bogotá D.C.,Activos,1619.7073836660552,Base
Bogotá D.C.,Recuperado,1721.542943923146,Base
Bogotá D.C.,Fallecido,7.58176736094755,Base
Medellín,Total,722.9469835575204,Base
Medellín,Nuevos,93.41444237499698,Base
Medellín,Activos,210.93159335741112,Base
Medellín,Recuperado,385.97733056437073,Base
Medellín,Fallecido,3.4588377956023777,Base
Cali,Total,284.56753585088444,Base
Cali,Nuevos,90.73754659415077,Base
Cali,Activos,589.3338751088738,Base
Cali,Recuperado,141.85304013221906,Base
Cali,Fallecido,3.9963012146013073,Base
Barranquilla,Total,128.81898849991268,Base
Barranquilla,Nuevos,9.890141561086978,Base
Barranquilla,Activos,238.56199388476193,Base
Barranquilla,Recuperado,66.99285604648514,Base
Barranquilla,Fallecido,1.4889075008151305,Base
Cartagena de Indias,Total,188.44997568531397,Base
Cartagena de Indias,Nuevos,24.14137874875678,Base
Cartagena de Indias,Activos,102.03877434783517,Base
Cartagena de Indias,Recuperado,68.10821403334482,Base
Cartagena de Indias,Fallecido,0.7478500200832785,Base
