Ciudad,Variable,Valor,Escenario
Bogotá D.C.,Total,0.9999820247116304,Base
Bogotá D.C.,Nuevos,0.9509649910662489,Base
Bogotá D.C.,Activos,0.9998165285968619,Base
Bogotá D.C.,Recuperado,0.8892125074366894,Base
Bogotá D.C.,Fallecido,0.9646626582221816,Base
Medellín,Total,0.9999787584951446,Base
Medellín,Nuevos,0.9558563659339915,Base
Medellín,Activos,0.9997962361277354,Base
Medellín,Recuperado,0.9271904516999814,Base
Medellín,Fallecido,0.9125777195895718,Base
Cali,Total,0.9999823193204579,Base
Cali,Nuevos,0.9344182980425771,Base
Cali,Activos,0.999614454040183,Base
Cali,Recuperado,0.8034580204825708,Base
Cali,Fallecido,0.8904266823922312,Base
Barranquilla,Total,0.9999764555496238,Base
Barranquilla,Nuevos,0.9010628173707814,Base
Barranquilla,Activos,0.9995914080191773,Base
Barranquilla,Recuperado,0.7949975122418992,Base
Barranquilla,Fallecido,0.944045671623667,Base
Cartagena de Indias,Total,0.999970319862281,Base
Cartagena de Indias,Nuevos,0.812020060475789,Base
Cartagena de Indias,Activos,0.9995030047057942,Base
Cartagena de Indias,Recuperado,0.796596562266589,Base
Cartagena de Indias,Fallecido,0.5994555864993133,Base
